"","x"
"1693",10
"1694",10
"1695",12
"1696",10
"1697",10
"1698",10
"1699",6
"1700",8
"1701",10
"1702",10
"1703",12
"1704",10
"1705",14
"1706",10
"1707",12
"1708",8
"1709",12
"1710",8
"1711",12
"1712",8
"1713",4
"1714",14
"1715",12
"1716",14
"1717",12
"1718",14
"1719",14
"1720",8
"1721",10
"1722",6
"1723",8
"1724",10
"1725",10
"1726",8
"1727",10
"1728",6
"1729",14
"1730",12
"1731",12
"1732",10
"1733",4
"1734",12
"1735",8
"1736",12
"1737",8
"1738",10
"1739",10
"1740",4
"1741",14
"1742",12
"1743",6
"1744",12
"1745",8
"1746",12
"1747",6
"1748",12
"1749",12
"1750",8
"1751",10
"1752",14
"1753",8
"1754",8
"1755",8
"1756",4
"1757",6
"1758",10
"1759",10
"1760",6
"1761",6
"1762",8
"1763",14
"1764",14
"1765",8
"1766",8
"1767",12
"1768",10
"1769",10
"1770",10
"1771",8
"1772",10
"1773",8
"1774",12
"1775",8
"1776",12
"1777",8
"1778",6
"1779",14
"1780",12
"1781",8
"1782",6
"1783",8
"1784",10
"1785",10
"1786",10
"1787",10
"1788",6
"1789",6
"1790",8
"1791",12
"1792",14
"1793",10
"1794",10
"1795",4
"1796",12
"1797",8
"1798",12
"1799",10
"1800",8
"1801",8
"1802",8
"1803",12
"1804",12
"1805",8
"1806",10
"1807",8
"1808",12
"1809",12
"1810",12
"1811",8
"1812",4
"1813",6
"1814",6
"1815",10
"1816",14
"1817",10
"1818",10
"1819",12
"1820",12
"1821",10
"1822",10
"1823",8
"1824",12
"1825",14
"1826",10
"1827",12
"1828",14
"1829",12
"1830",12
"1831",12
"1832",12
"1833",8
"1834",10
"1835",10
"1836",8
"1837",8
"1838",10
"1839",14
"1840",12
"1841",8
"1842",10
"1843",10
"1844",8
"1845",10
"1846",10
"1847",10
"1848",14
"1849",10
"1850",8
"1851",8
"1852",6
"1853",12
"1854",10
"1855",10
"1856",6
"1857",10
"1858",8
"1859",12
"1860",12
"1861",10
"1862",14
"1863",12
"1864",12
"1865",12
"1866",4
"1867",12
"1868",8
"1869",10
"1870",12
"1871",12
"1872",14
"1873",8
"1874",8
"1875",12
"1876",8
"1877",10
"1878",8
"1879",12
"1880",12
"1881",10
"1882",6
"1883",12
"1884",8
"1885",6
"1886",10
"1887",6
"1888",8
"1889",10
"1890",8
"1891",8
"1892",14
"1893",8
"1894",8
"1895",8
"1896",12
"1897",10
"1898",12
"1899",6
"1900",12
"1901",10
"1902",8
"1903",14
"1904",6
"1905",10
"1906",8
"1907",6
"1908",8
"1909",8
"1910",8
"1911",6
"1912",6
"1913",10
"1914",14
"1915",6
"1916",10
"1917",8
"1918",8
"1919",8
"1920",6
"1921",12
"1922",4
"1923",8
"1924",12
"1925",10
"1926",10
"1927",4
"1928",12
"1929",8
"1930",10
"1931",12
"1932",10
"1933",12
"1934",12
"1935",14
"1936",10
"1937",10
"1938",12
"1939",4
"1940",12
"1941",6
"1942",6
"1943",10
"1944",10
"1945",12
"1946",10
"1947",12
"1948",10
"1949",12
"1950",14
"1951",12
"1952",8
"1953",8
"1954",12
"1955",12
"1956",10
"1957",6
"1958",12
"1959",12
"1960",8
"1961",10
"1962",12
"1963",10
"1964",12
"1965",8
"1966",14
"1967",12
"1968",6
"1969",10
"1970",12
"1971",8
"1972",10
"1973",10
"1974",12
"1975",6
"1976",10
"1977",8
"1978",14
"1979",10
"1980",12
"1981",10
"1982",10
"1983",8
"1984",6
"1985",8
"1986",12
"1987",6
"1988",6
"1989",12
"1990",10
"1991",14
"1992",6
"1993",12
"1994",10
"1995",12
"1996",8
"1997",10
"1998",10
"1999",10
"2000",10
